id,timestamp,brand,item_type,size,colour,condition,material,notes,price,parcel_size,title,description,status
1,2025-03-25 12:35:34,ASOS,Mens Jeans,"W32, L32",Black,Good,"79% Cotton, 19% poly, 2% Elastane",The rips in the knees have naturally become larger. All zips and buttons are in perfect working order.,5,Small Parcel,"ASOS Mens Jeans W32, L32 Black â€“ Good â€“ BNWT","
Brand: ASOS  
Size: W32, L32  
Condition: Good  
Material: 79% Cotton, 19% poly, 2% Elastane  
Colour: Black  
Notes: The rips in the knees have naturally become larger. All zips and buttons are in perfect working order.  

ðŸšš Fast dispatch â€“ usually same day!  
ðŸš¶ Feel free to bundle items!
",Draft
2,2025-03-25 12:35:34,Human Scales,Mens Overshirt,L,nan,Very Good,nan,"This Jacket is in very good condition and has light sings of wear, please see images.",60,Large Parcel,,,Draft
3,2025-03-25 12:35:34,Polo Ralph Lauren,Mens Shorts,34,nan,Very Good,"Conton, elastane","Great condition,these have only been worn a few times. Small white mark on the back, please see images.",15,Small Parcel,,,Draft
4,2025-03-25 12:35:34,Nike,Mens training Shorts,XL,nan,Good,poly,"In good condition with no marks or stains anywhere on the shorts, but has some minor signs of wear especially on the Nike swoosh",10,Small Parcel,,,Draft
5,2025-03-25 12:35:34,Levis,Mens Jeans ,32W 34L,nan,Good,"Conton, elastane",In good condition but has some minor signs of wear especially around the pockets.,10,Small Parcel,,,Draft
6,2025-03-25 12:35:34,maniÃ¨re de voir men,Mens leather Jacket,M,nan,Very Good,PU leather,Very good condition and only worn a couple of times.,25,Medium Parcel,,,Draft
7,2025-03-25 12:35:34,H&M,Mens denim Shorts,W32,nan,New With Tags,"Conton, elastane",New with tags and never worn.,10,Small Parcel,,,Draft
8,2025-03-25 12:35:34,Zara,Mens Checked Shirt,XL,nan,Very Good,"Cotton, Polyester, elastane",Very good condition and only worn a couple of times.,5,Small Parcel,,,Draft
9,2025-03-25 12:35:34,Zara,Mens Printed Shirt,M,nan,Good,viscosa,In good condition but has some minor signs of wear.,5,Small Parcel,,,Draft
10,2025-03-25 12:35:34,Zara,Mens Crew neck jumper,L,nan,Very Good,"viscosa,polyamide","In very good condition, with no visible signs of wear.",10,Small Parcel,,,Draft
11,2025-03-25 12:35:34,Zara,Mens Knitted jumper,L,nan,Very Good,"Cotton, Polyester, ","In very good condition, with no visible signs of wear.",10,Medium Parcel,,,Draft
12,2025-03-25 12:35:34,ASOS,Mens Striped shirt ,M,nan,Very Good,"Conton, elastane",Very good condition and only worn a couple of times. Comes with replacment buttons,5,Small Parcel,,,Draft
13,2025-03-25 12:35:34,Holister,V neck T shirt,S,nan,Very Good,"Cotton, Polyester, ",Very good condition and only worn a couple of times.,5,Small Parcel,,,Draft
14,2025-03-25 12:35:34,Zara,Mens Crew neck jumper,M,nan,Very Good,nan,Very good condition and has only worn a couple of times. The tag has been cut out due to it being irritatingVery good condition and only worn a couple of times. Tag has been cut out due to it being iratating ,10,Small Parcel,,,Draft
15,2025-03-25 12:35:34,Pull & Bear,Mens Overshirt,M,nan,Very Good,cotton,"In very good condition, with no visible signs of wear.",10,Small Parcel,,,Draft
16,2025-03-25 12:35:34,ASOS,Men Suit Pants,W30,nan,Very Good,"VISCOSE,POLY, ELASTANE","In very good condition, with no visible signs of wear.",10,Small Parcel,,,Draft
17,2025-03-25 12:35:34,NEXT,Mens Plain Shirt,M,nan,Very Good,Linnen ,Very good condition and only worn a couple of times.,5,Small Parcel,,,Draft
18,2025-03-25 12:35:34,ASOS,Mens Checked Trousers,"W30, L30",nan,Very Good,"VISCOSE,POLY, ELASTANE","Great condition,these have only been worn a few times. All buttons and zips in good working order.",10,Small Parcel,,,Draft
19,2025-03-25 12:35:34,Allsaints,Mens Printed T Shirt,L,nan,Good,cotton ,"Great condition,these have only been worn a few times. Small white mark on the back, please see images.",15,Small Parcel,,,Draft
20,2025-03-25 12:35:34,Pull & Bear,Mens Pain T Shirt,M,nan,Very Good,nan,"In very good condition, with no visible signs of wear.",5,Small Parcel,,,Draft
21,2025-03-25 12:35:34,ASOS,Mens Long Sleve T Shirt,M,nan,Very Good,"Conton, elastane","In very good condition, with no visible signs of wear.",5,Small Parcel,,,Draft
22,2025-03-25 12:35:34,Allsaints,Mens striped t shirt,M/L,nan,Very Good,cotton ,"In very good condition, this top is a oversize fit where it sits on the collar bones and the slevees are 3/4. I have attached the product description below to do your own reasearch on the fit: ADELISE LS STRIPE TEE (WM015P)",20,Medium Parcel,,,Draft
23,2025-03-25 12:35:34,French Connection,Printed T Shirt,M,nan,Very Good,cotton,This T-Shirt is in great condition and has no visible signs of wear.,5,Small Parcel,,,Draft
24,2025-03-25 12:35:34,Top Man,Plain Shirt,M,nan,Good,cotton,"This shirt has been worn a few times and has got a bleach mark on the back, the collar has some stains.Please see images",5,Small Parcel,,,Draft
25,2025-03-25 12:35:34,Abercrombie & Fitch,Plain T Shirt,M,nan,Very Good,cotton polyester,This T Shirt is in great condition. Worn a couple of times,5,Small Parcel,,,Draft
26,2025-03-25 12:35:34,Silver Street,Formal Shoes,10,nan,Very Good,nan,Worn a couple of times for formal event. Great condition,12,Medium Parcel,,,Draft
27,2025-03-25 12:35:34,Kalenji,Swimwear,L,nan,Good,nan,"overall condition is great, drawstrings show no sign of fraying. Black mark on front, as shown in images.",5,Small Parcel,,,Draft
